kind,code,title,duration,description,url,thumbnail_url
episode,2874755d-7721-4563-a3a9-8c1403b39e6f,4:40 to Willow,2:00,,https://www.showrunnerstudio.com/app/episode/2874755d-7721-4563-a3a9-8c1403b39e6f,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3579_avc_1080p.png
episode,8344ac86-f3af-469b-ba67-d830ccfadee4,Driftwave Static,5:31,,https://www.showrunnerstudio.com/app/episode/8344ac86-f3af-469b-ba67-d830ccfadee4,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3582_avc_1080p.png
episode,ee3f1c0e-337b-47d1-97fa-24ad5b44121a,Play Time’s over,9:17,,https://www.showrunnerstudio.com/app/episode/ee3f1c0e-337b-47d1-97fa-24ad5b44121a,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3580_avc_1080p.png
episode,16f13906-b159-413d-a6aa-1c8d58b333fc,The Last Tick,1:15,,https://www.showrunnerstudio.com/app/episode/16f13906-b159-413d-a6aa-1c8d58b333fc,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3581_avc_1080p.png
combine,3583,The Final Trip,6:01,,https://www.showrunnerstudio.com/app/combine/3583,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3583_avc_1080p.png
combine,3582,Tracking Error,5:31,,https://www.showrunnerstudio.com/app/combine/3582,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3582_avc_1080p.png
combine,3581,The Last Tick,1:15,,https://www.showrunnerstudio.com/app/combine/3581,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3581_avc_1080p.png
combine,3580,Hard Plastic,9:17,,https://www.showrunnerstudio.com/app/combine/3580,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3580_avc_1080p.png
combine,3579,4:40 to Willow,2:00,,https://www.showrunnerstudio.com/app/combine/3579,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3579_avc_1080p.png
combine,3552,"Micasa, Sucasa",3:01,,https://www.showrunnerstudio.com/app/combine/3552,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3552_avc_1080p.png
combine,3551,The Resonant Archive,3:31,,https://www.showrunnerstudio.com/app/combine/3551,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3551_avc_1080p.png
combine,3550,Scrubbed From the Feed,1:00,,https://www.showrunnerstudio.com/app/combine/3550,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3550_avc_1080p.png
episode,af994208-f514-490a-bb4f-f00370382a14,Episode 1,2:00,,https://www.showrunnerstudio.com/app/episode/af994208-f514-490a-bb4f-f00370382a14,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/true-love-will-find-us-in-the-end/true-love-will-find-us-in-the-end_episode1_2026-08-27T12_32_25_776Z_rqv6i90z.png
